iata,city,state,longitude,latitude,passengers,airport_id
TOL,Toledo,OH,-83.80783333284637,41.5868055561243,120632.0,209
IAG,Niagara Falls,NY,-78.94584666687159,43.10755736114168,118858.0,211
COU,Columbia,MO,-92.21802777793788,38.81733333278334,117650.0,212
SAF,Santa Fe,NM,-106.08941666676759,35.61711111070307,115485.0,213
AEX,Alexandria,LA,-92.54855611073744,31.327371666660017,115398.0,214
HLN,Helena,MT,-111.98327777792214,46.60672222222183,115326.0,215
GFK,Grand Forks,ND,-97.17377777794896,47.947277778117105,113022.0,216
EWN,New Bern,NC,-77.04302008286069,35.07285252814834,111139.0,217
RFD,Rockford,IL,-89.09722222156721,42.19536111117021,109909.0,218
CMI,Champaign/Urbana,IL,-88.27780555562687,40.03883333271974,108142.0,219
BRO,Brownsville,TX,-97.4259999997712,25.906138888596892,107214.0,220
MLU,Monroe,LA,-92.03766666725613,32.51086111088131,106060.0,221
BFL,Bakersfield,CA,-119.05766666694844,35.433861111211755,105517.0,222
HDN,Hayden,CO,-107.2176666668798,40.48119444370749,100407.0,223
HTS,Huntington,WV,-82.56036022179988,38.368507805922604,100047.0,224
ITH,Ithaca,NY,-76.45872222238275,42.49136111122464,98875.0,225
SCK,Stockton,CA,-121.23873999983749,37.894410277669465,98842.0,226
LSE,La Crosse,WI,-91.25663888873837,43.87927777772626,96876.0,227
ERI,Erie,PA,-80.17394444405133,42.08308333296709,95146.0,228
ENA,Kenai,AK,-151.24483333261293,60.57327777815068,93573.0,229
SUN,Hailey,ID,-114.29555833333728,43.50378055627633,92507.0,230
PSE,Ponce,PR,-66.56452083275018,18.008780556308306,90197.0,231
FSM,Fort Smith,AR,-94.36744444428196,35.33658333292319,87276.0,232
CPR,Casper,WY,-106.46363888879844,42.90586111077091,86331.0,233
LRD,Laredo,TX,-99.46158333279962,27.54419444407012,83333.0,234
LYH,Lynchburg,VA,-79.2012222223778,37.32538888881787,82302.0,235
ABI,Abilene,TX,-99.6818888886842,32.41133333324512,80883.0,236
PVU,Provo,UT,-111.72336111109392,40.21916666712306,80183.0,237
MKK,Kaunakakai,HI,-157.09625611094418,21.152885832912858,79345.0,238
ADQ,Kodiak,AK,-152.49394366728217,57.74979222187429,78929.0,239
OTZ,Kotzebue,AK,-162.5981388893822,66.88480555604617,76851.0,240
SCC,Deadhorse,AK,-148.46516486130605,70.19475411106986,76819.0,241
OME,Nome,AK,-165.44438888875018,64.51255555588732,76339.0,242
CLL,College Station,TX,-96.36254444444671,30.58804188884577,76223.0,243
SPI,Springfield,IL,-89.67808333258397,39.84422222212059,75426.0,244
ISN,Williston,ND,-103.64234666708643,48.17793861112875,73844.0,245
ORH,Worcester,MA,-71.87561111071365,42.26713888909162,71320.0,246
YKM,Yakima,WA,-120.54405555555084,46.568166666776406,70888.0,247
MHK,Manhattan,KS,-96.67179699990378,39.14123394380897,70545.0,248
ACV,Arcata/Eureka,CA,-124.10847222214213,40.97783333287897,69502.0,249
FLG,Flagstaff,AZ,-111.66924138904824,35.140315832857034,67237.0,250
PUW,"Pullman/Moscow,ID",WA,-117.10958333262272,46.743861110850496,65621.0,251
SBY,Salisbury,MD,-75.50947833304237,38.34018944370485,64771.0,252
EAT,Wenatchee,WA,-120.20683333298685,47.39880555583672,64491.0,253
GRI,Grand Island,NE,-98.30963888905312,40.96754249971481,61739.0,254
BRW,Barrow,AK,-156.76858333288828,71.28486111095201,60147.0,255
LCH,Lake Charles,LA,-93.22341666718313,30.12608333322381,59319.0,256
ROW,Roswell,NM,-104.52939763899015,33.29986966677529,56771.0,257
ACT,Waco,TX,-97.2303055562846,31.61219444426785,55997.0,258
LWS,Lewiston,ID,-117.01538888899674,46.374500000137566,55249.0,259
PSG,Petersburg,AK,-132.9462222216188,56.801472222122,54640.0,260
SJT,San Angelo,TX,-100.49630555600763,31.35775000027413,54258.0,261
DHN,Dothan,AL,-85.449472221937,31.321027777999525,52857.0,262
MVY,Marthas Vineyard,MA,-70.61388413910153,41.39342205630285,50702.0,263
PGV,Greenville,NC,-77.38408333269629,35.6356944439331,49906.0,264
ALW,Walla Walla,WA,-118.28408249955478,46.09254166719131,49485.0,265
WRG,Wrangell,AK,-132.3698333328199,56.484333333119174,49092.0,266
CSG,Columbus,GA,-84.93886111066665,32.516333333140665,48674.0,267
TYR,Tyler,TX,-95.40297222183956,32.35355555569091,48399.0,268
LAW,Lawton,OK,-98.41663666738577,34.56771444425329,47932.0,269
TWF,Twin Falls,ID,-114.487750000291,42.481805556059214,47715.0,270
PIH,Pocatello,ID,-112.5959166672488,42.909805556011065,46894.0,271
AKN,King Salmon,AK,-156.64869100042347,58.676493472079706,46590.0,272
JHM,Lahaina,HI,-156.67303166692037,20.96293638937929,46574.0,273
FLO,Florence,SC,-79.7238888891527,34.18536111119305,44483.0,274
